Method;N segments;Compactness;Under Segmentation;Boundary Recall;ASA
BioSeg.simple_slic; 100;0.10;0.35058;0.83226;0.64942
BioSeg.slic_zero_param; 100;0.10;0.51699;0.49357;0.48301
BioSeg.simple_slic; 100;0.50;0.42340;0.64916;0.57660
BioSeg.slic_zero_param; 100;0.50;0.51699;0.49357;0.48301
BioSeg.simple_slic; 100;1.00;0.44584;0.63576;0.55416
BioSeg.slic_zero_param; 100;1.00;0.51699;0.49357;0.48301
BioSeg.simple_slic; 100;5.00;0.45114;0.62469;0.54886
BioSeg.slic_zero_param; 100;5.00;0.51699;0.49357;0.48301
BioSeg.simple_slic; 400;0.10;0.20819;0.98660;0.79181
BioSeg.slic_zero_param; 400;0.10;0.51699;0.49357;0.48301
BioSeg.simple_slic; 400;0.50;0.26670;0.95570;0.73330
BioSeg.slic_zero_param; 400;0.50;0.51699;0.49357;0.48301
BioSeg.simple_slic; 400;1.00;0.28657;0.94784;0.71343
BioSeg.slic_zero_param; 400;1.00;0.51699;0.49357;0.48301
BioSeg.simple_slic; 400;5.00;0.29338;0.94605;0.70662
BioSeg.slic_zero_param; 400;5.00;0.51699;0.49357;0.48301
BioSeg.simple_slic;1000;0.10;0.15026;0.99982;0.84974
BioSeg.slic_zero_param;1000;0.10;0.51699;0.49357;0.48301
BioSeg.simple_slic;1000;0.50;0.19393;0.99982;0.80607
BioSeg.slic_zero_param;1000;0.50;0.51699;0.49357;0.48301
BioSeg.simple_slic;1000;1.00;0.20347;0.99982;0.79653
BioSeg.slic_zero_param;1000;1.00;0.51699;0.49357;0.48301
BioSeg.simple_slic;1000;5.00;0.20583;0.99982;0.79417
BioSeg.slic_zero_param;1000;5.00;0.51699;0.49357;0.48301
