N segments;Compactness; (Gaussian Kernel diam.);Under Segmentation;Boundary Recall
 100; 1;0;0.38795;0.64746
 100; 1;1;0.39042;0.64330
 100; 1;2;0.39530;0.63530
 100;10;0;0.41185;0.62365
 100;10;1;0.41201;0.62348
 100;10;2;0.41185;0.62365
 100;20;0;0.41212;0.62365
 100;20;1;0.41217;0.62365
 100;20;2;0.41222;0.62365
 200; 1;0;0.32552;0.78918
 200; 1;1;0.32820;0.78918
 200; 1;2;0.33277;0.78501
 200;10;0;0.34397;0.77868
 200;10;1;0.34397;0.77852
 200;10;2;0.34402;0.77868
 200;20;0;0.34407;0.77885
 200;20;1;0.34407;0.77885
 200;20;2;0.34407;0.77885
 400; 1;0;0.25632;0.95520
 400; 1;1;0.25947;0.95404
 400; 1;2;0.26446;0.95204
 400;10;0;0.26972;0.95104
 400;10;1;0.26967;0.95104
 400;10;2;0.26967;0.95104
 400;20;0;0.26967;0.95104
 400;20;1;0.26967;0.95104
 400;20;2;0.26967;0.95104
